file	freq	freq_loc	inc_deg	inc_loc	damp	damp_loc
G7_P3_case73.mat	0	0	0	0	1	4
G7_P4_case73.mat	0	0	0	0	1	4
G7_P5_case73.mat	0	0	0	0	1	4
G7_P1_case74.mat	0	0	0	0	0	0
G7_P2_case74.mat	0	0	0	0	0	0
G7_P3_case74.mat	0	0	0	0	0	0
G7_P4_case74.mat	0	0	0	0	0	0
G7_P5_case74.mat	0	0	0	0	0	0
G7_P1_case75.mat	35	6	4	4	0	0
G7_P2_case75.mat	35	6	4	4	0	0
G7_P3_case75.mat	35	6	4	4	0	0
G7_P4_case75.mat	35	6	4	4	0	0
G7_P5_case75.mat	35	6	4	4	0	0
G7_P1_case76.mat	35	6	0	0	1	4
G7_P2_case76.mat	35	6	0	0	1	4
G7_P3_case76.mat	35	6	0	0	1	4
G7_P4_case76.mat	35	6	0	0	1	4
G7_P5_case76.mat	35	6	0	0	1	4
G8_P1_case81.mat	50	5	0	0	0	0
G8_P2_case81.mat	50	5	0	0	0	0
G8_P3_case81.mat	50	5	0	0	0	0
G8_P4_case81.mat	50	5	0	0	0	0
G8_P5_case81.mat	50	5	0	0	0	0
G8_P1_case82.mat	0	0	3	5	0	0
G8_P2_case82.mat	0	0	3	5	0	0
G8_P3_case82.mat	0	0	3	5	0	0
G8_P4_case82.mat	0	0	3	5	0	0
G8_P5_case82.mat	0	0	3	5	0	0
G8_P1_case83.mat	0	0	0	0	1	5
G8_P2_case83.mat	0	0	0	0	1	5
G8_P3_case83.mat	0	0	0	0	1	5
G8_P4_case83.mat	0	0	0	0	1	5
G8_P5_case83.mat	0	0	0	0	1	5
G8_P1_case84.mat	0	0	0	0	0	0
G8_P2_case84.mat	0	0	0	0	0	0
G8_P3_case84.mat	0	0	0	0	0	0
G8_P4_case84.mat	0	0	0	0	0	0
G8_P5_case84.mat	0	0	0	0	0	0
G8_P1_case85.mat	40	6	4	5	0	0
G8_P2_case85.mat	40	6	4	5	0	0
G8_P3_case85.mat	40	6	4	5	0	0
G8_P4_case85.mat	40	6	4	5	0	0
G8_P5_case85.mat	40	6	4	5	0	0
G8_P1_case86.mat	40	6	0	0	1	5
G8_P2_case86.mat	40	6	0	0	1	5
G8_P3_case86.mat	40	6	0	0	1	5
G8_P4_case86.mat	40	6	0	0	1	5
G8_P5_case86.mat	40	6	0	0	1	5
G9_P1_case91.mat	45	2	0	0	0	0
G9_P2_case91.mat	45	2	0	0	0	0
G9_P3_case91.mat	45	2	0	0	0	0
G9_P4_case91.mat	45	2	0	0	0	0
G9_P5_case91.mat	45	2	0	0	0	0
G9_P1_case92.mat	0	0	2	4	0	0
G9_P2_case92.mat	0	0	2	4	0	0
G9_P3_case92.mat	0	0	2	4	0	0
G9_P4_case92.mat	0	0	2	4	0	0
G9_P5_case92.mat	0	0	2	4	0	0
G9_P1_case93.mat	0	0	0	0	1	6
G9_P2_case93.mat	0	0	0	0	1	6
G9_P3_case93.mat	0	0	0	0	1	6
G9_P4_case93.mat	0	0	0	0	1	6
G9_P5_case93.mat	0	0	0	0	1	6
G9_P1_case94.mat	0	0	0	0	0	0
G9_P2_case94.mat	0	0	0	0	0	0
G9_P3_case94.mat	0	0	0	0	0	0
G9_P4_case94.mat	0	0	0	0	0	0
G9_P5_case94.mat	0	0	0	0	0	0
G9_P1_case95.mat	45	6	4	4	0	0
G9_P2_case95.mat	45	6	4	4	0	0
G9_P3_case95.mat	45	6	4	4	0	0
G9_P4_case95.mat	45	6	4	4	0	0
G9_P5_case95.mat	45	6	4	4	0	0
G9_P1_case96.mat	45	6	0	0	1	4
G9_P2_case96.mat	45	6	0	0	1	4
G9_P3_case96.mat	45	6	0	0	1	4
G9_P4_case96.mat	45	6	0	0	1	4
G9_P5_case96.mat	45	6	0	0	1	4
